Team,Team Name,Drive Base,Strategy,Scale,Low Goal,High Goal,Low Bar,Cheval-de-frise,Rampart,Drawbridge,Sally Port,Rock Wall,Moat,Rough Terrain,Portcullis,Auto Cross,Auto Reach,Auto Low,Auto High,Pre-Event Auto Cross,Pre-Event Auto Reach,Pre-Event Auto Low,Pre-Event Auto High,Pre-Event Scale,Pre-Event Low Bar,Pre-Event Low Goal,Pre-Event High Goal,Pre-Event Cheval-de-frise,Pre-Event Rampart,Pre-Event Drawbridge,Pre-Event Sally Port,Pre-Event Rock Wall,Pre-Event Moat,Pre-Event Rough Terrain,Pre-Event Portcullis,Pre-Event OPR,Pre-Event DPR,Pre-Event CCWM
2942,Panda ER,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.88,36.29,-15.41
2980,WI Wild Cats,,,,1,,1,,1,,,1,1,1,1,,,,,,,,,,1,,1,,1,,,1,1,1,1,17.99,30.51,-12.52
3049,BremerTron,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
3218,Panther Robotics,,,,,,1,,1,,,1,1,1,1,1,1,,,1,1,,,,,,1,,1,,,1,1,1,1,13.98,20.38,-6.40
3219,TREAD,,,,,,,1,,,1,,1,1,,,1,,,,1,,,,,,,1,,,1,,1,1,,17.16,14.50,2.66
3221,KM Royals,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,8.63,11.80,-3.17
3237,Bionic Braves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82,26.13,-16.31
3393,Horns of Havoc,,,,1,,,,,,,1,1,1,,1,1,,,1,1,,,,1,,,,,,,1,1,1,,33.10,12.73,20.37
3574,HIGH TEKERZ,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.92,24.97,2.95
3576,Warriors,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
3588,The Talon,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.01,29.02,-4.01
3684,Electric Eagles,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.03,14.42,4.61
3781,Cardinal 4H Robotics,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,20.70,25.59,-4.89
3786,Chargers,,,,1,,1,,1,,,1,1,1,,1,,,,1,,,,,1,,1,,1,,,1,1,1,,15.34,17.05,-1.71
3787,Wild Robotocats,,,,,,,,1,,,1,1,1,,1,,,,1,,,,,,,,,1,,,1,1,1,,,,
4060,SWAG,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.55,25.22,-7.67
4131,Iron Patriots,,,,1,,1,1,1,,,1,1,1,1,1,,,1,1,,,1,,1,,1,1,1,,,1,1,1,1,30.32,19.69,10.63
4461,Ramen,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,11.89,14.75,-2.86
4469,RAID,,,,,,1,,1,,1,1,1,1,,1,,,,1,,,,,,,1,,1,,1,1,1,1,,34.94,16.73,18.21
4579,RoboEagles,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,7.04,26.73,-19.69
4654,Mountaineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42,22.04,-4.62
4681,Murphy's Law,,,,,,1,,1,,,1,1,1,,1,,,,1,,,,,,,1,,1,,,1,1,1,,15.87,15.29,0.58
5295,Aldernating Current,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,1,,,1,1,1,,6.26,21.86,-15.60
5683,RAVE,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,13.30,17.24,-3.94
5748,Adna Pirates,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.69,29.33,-23.64
5937,MI-Robotics,,,,1,,,,1,,,1,1,1,,1,,,,1,,,,,1,,,,1,,,1,1,1,,22.59,20.35,2.24
5939,Lakers Lancers,,,,1,,,,1,,,,,,,1,,,,1,,,,,1,,,,1,,,,,,,12.51,29.21,-16.70
5941,SPQL,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.70,17.73,-7.03
