team;event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
27;MILivonia;-0.03;0.34;0.47;2.90;3.69;0.16;0.56;0.57;;0.65;0.89;0.83;;1.33;0.79;0.67;0.43;0.78;1.39;0.76;-0.17;0.31;-0.01;0.04;13.14;0.16;9.75;3.23;35.59;14.70;15.45;7.17;-1.74;1.32;1.72;50.45;3.91;71.77;65.58
27;Buckeye;-0.01;0.10;0.19;-0.15;0.14;-0.11;0.13;0.33;;0.89;0.26;0.42;0.12;0.61;0.55;0.51;0.59;0.56;0.43;0.62;0.03;0.64;-0.02;-0.07;7.96;0.30;6.67;0.99;12.72;9.32;-0.40;3.00;0.80;0.65;2.86;23.54;2.53;30.31;23.39
28;SBPLILongIsland;-0.02;-0.03;0.81;1.11;1.86;0.07;0.12;0.63;-1.14;0.37;0.64;0.04;;0.03;0.34;;0.17;0.57;0.05;0.49;-0.31;0.14;0.01;-0.05;8.70;0.44;8.66;-0.39;13.79;5.21;7.18;3.48;-2.07;0.56;0.47;22.97;1.91;33.56;27.02
31;KansasCity;0.00;0.06;0.90;-0.02;0.97;-0.02;0.13;0.70;-3.43;0.39;;0.64;;0.48;0.77;0.45;0.01;0.40;0.19;0.66;0.44;-0.15;-0.04;0.06;8.56;-0.50;8.44;0.63;8.72;5.61;1.67;0.55;0.89;0.17;-0.46;16.82;1.96;24.76;19.02
31;Oklahoma;0.00;0.02;-0.33;-0.11;-0.41;-0.04;-0.23;0.78;;-0.48;-0.57;0.61;0.32;-0.47;0.38;0.46;-0.21;0.41;-0.59;0.38;0.17;-0.09;-0.01;0.00;0.99;1.10;-0.28;0.18;0.53;3.97;-1.19;-0.89;-1.37;-0.27;-0.41;1.10;0.77;1.73;-4.50
33;MIStateChampionship;0.10;0.02;-0.03;6.28;6.30;0.48;0.36;0.65;;0.63;0.73;0.65;;-0.19;0.71;0.90;0.66;0.69;-0.25;0.69;0.32;0.24;0.07;0.12;8.77;0.52;7.57;0.68;50.91;8.42;31.32;3.21;7.96;1.17;1.79;61.47;2.44;87.25;80.62
33;MITroy;0.00;0.25;0.09;3.80;4.23;0.20;0.59;0.77;0.04;1.18;1.23;0.73;0.35;-0.14;0.85;0.67;1.08;0.90;-0.21;0.88;-0.23;0.26;-0.10;0.19;8.58;1.05;5.08;2.45;44.24;14.60;19.15;1.98;8.50;0.96;2.23;55.05;3.43;76.82;71.81
33;MIWaterford;-0.01;0.17;0.69;1.57;2.43;0.08;0.20;0.41;0.43;0.64;1.43;1.06;0.24;-0.04;0.95;0.77;0.42;0.87;0.04;0.83;0.01;0.67;-0.01;0.15;4.94;-0.03;3.27;1.70;25.36;11.22;9.20;2.53;2.41;0.67;4.07;34.38;2.57;48.38;40.19
34;RocketCity;0.00;-0.04;1.70;-0.71;0.84;0.02;0.05;0.82;0.78;-0.09;0.75;0.87;;-0.19;0.92;;-0.09;0.73;0.00;0.79;0.14;0.36;0.11;-0.13;7.46;1.31;6.58;-0.43;12.56;7.98;-0.13;5.27;-0.57;1.02;1.17;21.19;2.25;29.46;22.63
34;ArkansasRockCity;0.01;-0.01;-0.52;0.09;-0.69;-0.02;0.09;0.25;2.39;0.02;1.22;1.14;;0.47;0.40;17.95;0.27;1.04;0.06;0.63;-0.10;0.39;0.26;-0.05;9.46;0.30;9.24;-0.08;11.54;6.79;-0.59;0.76;4.59;0.46;1.67;22.67;2.28;26.22;23.89
41;MARDistrictChampionship;0.00;0.01;-0.31;4.10;3.46;0.04;0.27;0.61;;0.69;0.67;0.42;;0.39;0.60;;0.56;0.51;0.31;0.60;-0.01;0.42;0.35;0.46;10.76;-0.02;10.69;0.09;33.20;7.65;19.89;2.64;3.01;0.73;4.40;48.35;2.60;65.65;54.89
41;MARMt.Olive;0.00;0.00;-0.31;2.02;1.58;0.07;0.05;0.66;;0.05;0.21;0.67;;0.70;0.52;;-0.02;0.39;0.63;0.45;-0.12;0.75;0.13;0.11;9.46;0.09;9.39;-0.02;17.76;5.85;9.47;2.84;-0.39;0.54;4.27;31.48;2.11;41.69;34.19
41;MARMontgomery;-0.01;0.02;-0.10;1.60;1.39;-0.03;0.13;0.70;0.59;0.36;0.47;0.13;;0.26;0.50;;0.22;0.45;0.38;0.53;-0.19;0.40;0.13;0.02;6.24;-0.03;6.09;0.19;19.72;8.38;7.82;3.51;0.01;0.70;2.08;28.05;2.29;38.11;29.86
45;INChampionship;-0.04;0.04;1.12;3.75;4.82;0.42;0.35;0.68;;0.64;0.47;0.65;;-0.15;0.68;;0.70;0.67;-0.14;0.68;-0.14;0.61;0.05;0.06;9.15;0.24;8.69;0.22;33.31;8.62;21.00;5.82;-2.13;1.02;3.35;45.81;2.59;67.36;63.15
45;INPerryMeridian;0.04;-0.06;1.90;-0.07;1.70;-0.02;0.33;0.60;1.43;0.94;;0.39;;0.37;0.41;;0.90;0.52;0.38;0.44;0.38;0.28;0.11;-0.08;4.94;0.98;4.33;-0.37;19.13;12.03;3.46;4.57;-0.92;0.85;0.97;25.04;2.84;37.46;31.05
45;INTippecanoe;0.00;-0.09;0.33;0.71;1.01;-0.01;0.28;0.62;;0.83;0.62;0.87;;-0.08;0.69;0.55;0.79;0.67;-0.06;0.66;-0.41;0.32;-0.06;0.12;4.31;0.55;4.69;-0.93;14.74;11.07;4.22;-0.16;-0.38;-0.06;2.20;21.25;2.68;31.11;26.61
48;QueenCity;-0.07;0.18;0.65;3.49;4.31;0.25;0.56;0.77;;0.09;0.85;0.83;;1.00;0.70;-445463044866463.00;0.15;0.85;1.06;0.72;0.54;-0.06;-0.06;-0.04;5.22;0.17;3.65;1.40;38.03;15.95;18.75;5.11;-1.78;0.90;-0.47;42.78;3.55;65.12;60.18
48;NewYorkTechValley;0.00;0.14;0.24;2.44;2.94;-0.02;0.53;0.71;;0.22;0.86;0.82;0.38;0.76;0.49;0.65;0.07;0.78;0.79;0.61;-0.05;0.14;-0.12;-0.01;9.53;-0.03;8.12;1.44;27.51;10.71;12.67;5.20;-1.07;0.97;0.66;37.69;2.95;54.26;47.78
48;Pittsburgh;-0.03;0.12;-0.12;2.31;2.32;0.02;0.15;0.62;0.02;-1.05;0.65;0.85;0.03;0.25;0.66;;0.16;0.60;0.51;0.66;-0.07;-0.01;-0.04;0.09;7.55;0.74;5.73;1.09;26.09;9.95;11.29;4.73;0.12;0.95;0.35;34.00;2.56;47.66;37.46
51;MIStateChampionship;0.52;-0.09;3.56;0.19;4.15;0.34;0.34;0.70;;0.68;0.67;0.75;;0.82;0.53;0.26;0.72;0.69;0.87;0.61;0.04;0.32;0.04;-0.11;11.63;0.01;9.87;1.76;25.43;13.03;8.06;4.24;0.10;0.85;1.06;38.13;3.59;60.08;53.39
51;MIHowell;0.10;0.03;2.46;-0.52;2.01;0.09;0.42;0.77;;0.25;0.34;0.43;;0.47;0.77;0.67;0.65;0.52;0.24;0.74;0.22;0.84;0.07;0.15;9.23;0.46;7.99;0.79;16.83;10.57;2.34;4.50;-0.58;0.86;4.92;30.98;2.91;44.53;41.60
51;MIWaterford;0.00;0.12;0.35;0.47;0.94;0.08;0.39;0.78;1.49;-0.26;0.99;0.42;0.98;-0.67;0.73;0.76;0.72;0.70;0.22;0.66;-0.04;0.55;0.00;-0.02;4.26;0.54;2.48;1.24;20.97;14.12;3.04;3.60;0.22;0.73;2.65;27.88;3.07;38.51;37.69
53;CHSCentralMaryland;0.00;0.00;0.58;0.12;0.59;-0.04;0.18;0.59;0.68;0.18;1.03;0.63;;-0.19;0.51;0.67;0.59;0.82;-0.15;0.51;0.12;-0.28;0.12;-0.03;5.14;-0.20;5.32;0.02;11.19;9.11;1.78;0.67;-0.37;0.11;-1.56;14.76;2.35;22.50;17.56
53;CHSNorthernMaryland;0.00;-0.05;-0.44;0.00;-0.48;-0.02;0.07;0.50;0.02;0.19;0.26;-0.09;0.18;0.57;0.12;;0.13;0.09;0.31;0.34;-0.03;-0.03;0.00;-0.10;2.08;-0.67;3.26;-0.51;5.11;5.20;-0.85;1.14;-0.38;0.20;-0.62;6.58;1.37;8.49;7.35
56;MARDistrictChampionship;0.13;-0.01;1.51;1.72;3.24;0.10;0.41;0.73;;0.80;0.72;0.64;;0.59;0.65;;0.65;0.70;0.57;0.66;-0.03;0.29;0.12;0.11;11.35;-0.35;11.12;0.58;26.09;10.98;11.64;4.73;-1.25;0.86;2.03;39.48;3.31;57.87;50.14
56;MARMontgomery;-0.02;0.04;2.17;1.34;3.17;0.22;0.43;0.70;-0.74;1.12;0.73;0.75;;0.49;0.67;;0.83;0.73;0.29;0.65;-0.04;0.31;0.36;-0.12;9.01;0.20;8.52;0.29;28.41;11.78;11.06;4.88;0.69;1.02;0.94;38.36;3.21;56.30;52.31
56;MARMt.Olive;0.00;0.00;0.66;1.44;2.03;0.15;0.28;0.64;;1.20;0.75;0.74;;0.13;0.70;;1.09;0.74;0.01;0.65;-0.28;0.30;0.08;0.01;7.52;0.53;6.96;0.03;24.93;12.16;8.53;4.68;-0.45;0.91;1.59;34.04;3.13;48.19;43.51
57;LoneStar;0.00;0.00;2.55;-0.36;2.38;0.23;0.50;0.83;;1.10;;0.63;;0.07;0.53;-259483206370836000.00;1.08;0.90;0.12;0.52;-0.17;0.05;-0.18;0.03;5.74;-0.30;6.02;0.02;19.86;14.24;3.32;3.83;-1.53;0.66;0.39;25.99;3.45;42.04;41.77
58;NEPineTree;0.00;-0.02;1.06;0.47;1.58;0.23;0.28;0.70;0.38;1.08;0.65;0.73;;-0.40;0.92;0.70;1.02;0.51;-0.27;0.79;0.39;0.17;-0.07;0.33;4.87;1.41;3.68;-0.22;18.91;11.91;4.46;4.43;-1.89;0.76;2.54;26.32;2.75;38.11;37.60
58;NENorthShore;0.00;0.00;0.77;0.20;0.86;0.01;0.49;0.54;;1.49;;0.62;-0.27;-0.18;0.52;1.19;1.22;0.76;-0.10;0.66;0.12;0.00;0.11;0.08;3.51;0.71;2.78;0.02;22.68;14.03;2.53;4.83;1.29;1.05;0.40;26.59;3.08;37.00;36.62
59;SouthFlorida;0.00;0.04;-0.08;2.65;2.34;0.01;-0.22;-0.04;;0.39;0.59;0.08;;0.78;0.78;-35.48;0.28;0.36;0.33;0.75;-0.62;-0.21;0.28;-0.07;3.71;1.66;1.62;0.43;30.23;7.60;13.08;-0.23;9.77;0.61;-1.42;32.52;1.68;44.03;28.40
60;LasVegas;-0.04;-0.01;-0.11;0.71;0.62;-0.10;0.44;0.73;;0.69;0.85;0.57;;0.84;0.65;0.67;0.42;0.69;1.04;0.65;-0.10;0.24;-0.07;-0.05;6.41;0.45;6.26;-0.29;23.40;14.51;3.31;2.98;2.60;0.77;0.97;30.82;3.53;41.57;37.10
60;ArizonaNorth;-0.02;-0.01;0.78;-0.82;0.03;-0.03;-0.18;0.19;;-0.17;0.99;0.17;2.28;0.48;0.04;0.85;0.00;0.39;0.84;0.28;-0.33;0.42;-0.10;0.04;1.65;0.83;1.08;-0.25;7.01;7.96;-2.54;2.89;-1.30;0.49;2.30;10.97;1.70;15.30;6.69
63;QueenCity;0.07;-0.07;2.88;-0.16;2.72;0.16;0.53;0.73;;0.36;0.65;1.13;;1.38;0.64;-147436036936383.00;0.37;0.87;0.95;0.69;0.89;0.16;0.01;-0.04;11.48;0.25;11.54;-0.31;30.99;12.31;4.99;1.78;11.91;1.15;0.56;43.03;3.62;60.58;57.50
63;Buckeye;0.00;0.03;0.52;-0.43;0.27;-0.19;0.27;0.82;;0.49;0.66;0.37;0.23;-0.14;0.38;0.29;0.56;0.43;0.14;0.30;0.51;-0.11;-0.15;-0.07;6.81;0.40;6.14;0.27;8.03;8.21;-1.11;1.19;-0.26;0.22;-0.89;13.96;2.26;20.43;14.75
66;MIAnnArborSkyline;0.01;-0.05;3.18;0.04;3.22;0.15;0.15;0.37;;0.76;0.31;1.11;;0.14;0.88;;0.62;0.68;-0.02;0.69;-0.22;2.29;-0.03;0.22;5.51;-0.11;6.06;-0.44;17.91;8.59;6.58;2.78;-0.05;0.55;12.55;35.97;2.32;51.82;42.67
66;MIStateChampionship;-0.02;-0.22;1.94;1.16;2.92;0.11;0.17;0.71;;0.51;0.62;0.57;;0.26;0.71;0.80;0.49;0.59;0.14;0.69;0.30;1.12;-0.06;0.10;6.80;0.04;9.04;-2.28;25.78;8.59;9.68;3.48;4.03;0.96;6.07;38.66;2.62;54.34;44.85
66;MISt.Joseph;0.01;-0.03;1.71;0.08;1.89;0.04;0.38;0.69;0.48;0.51;0.86;0.82;;-0.34;0.81;0.80;0.68;0.82;-0.27;0.80;-0.02;0.24;-0.12;0.38;0.63;0.24;0.66;-0.26;21.71;13.21;3.81;4.73;-0.03;0.94;3.11;25.46;2.71;38.12;34.06
67;MIStateChampionship;-0.03;0.30;-1.48;5.41;4.21;0.41;0.30;0.71;;0.67;0.65;0.68;;0.21;0.68;0.49;0.62;0.69;0.08;0.69;-0.06;-0.22;-0.02;-0.02;13.40;-0.19;10.75;2.84;44.09;8.53;24.06;1.51;9.99;0.97;-1.20;56.29;2.78;76.42;72.49
67;MIHowell;-0.02;0.07;0.87;2.81;3.73;0.29;0.48;0.68;;0.71;0.90;0.56;;0.27;0.68;0.67;0.72;0.76;0.34;0.65;0.21;0.14;-0.01;0.00;9.79;0.03;9.15;0.61;39.69;11.23;15.76;4.08;8.62;1.39;0.73;50.21;3.16;69.77;67.04
67;MIWaterford;0.00;-0.10;1.44;0.77;2.11;0.07;0.40;0.58;0.34;-0.07;0.66;0.74;0.73;0.76;0.88;0.72;0.56;0.85;0.39;0.91;-0.11;0.33;0.00;-0.01;1.88;0.27;2.63;-1.02;34.25;15.13;6.75;3.79;8.59;1.33;1.60;37.73;3.29;52.54;47.50
68;MIHowell;-0.07;-0.04;3.59;0.91;4.34;0.41;0.23;0.59;;1.03;0.92;0.57;;0.54;0.49;0.67;0.59;0.73;0.55;0.50;0.16;-0.39;0.06;0.08;8.87;-0.16;9.74;-0.71;26.99;9.89;11.75;5.78;-0.42;1.13;-1.57;34.29;2.95;55.22;49.07
68;MIStateChampionship;0.06;-0.01;-0.77;2.73;1.68;0.00;0.33;0.66;;0.64;0.69;0.67;;0.02;0.71;0.65;0.66;0.67;0.01;0.68;-0.02;0.14;0.33;-0.05;11.84;-0.14;11.78;0.21;24.59;7.54;12.13;3.86;1.06;0.84;0.44;36.87;2.69;48.85;43.42
68;MILansing;-0.04;-0.11;0.73;0.79;1.00;-0.07;0.39;0.54;;1.16;1.00;0.88;;-0.13;0.78;;1.02;0.83;0.07;0.73;0.12;-0.05;0.37;-0.06;10.58;-0.67;12.51;-1.26;18.67;9.70;5.42;3.57;-0.02;0.71;-0.51;28.74;3.19;39.86;34.89
68;INTippecanoe;0.00;-0.02;0.29;0.09;0.33;0.05;0.21;0.57;;0.47;0.52;1.14;;0.35;0.84;0.64;0.39;0.64;0.52;0.77;0.21;0.10;0.04;-0.04;3.24;0.15;3.27;-0.18;15.82;12.82;1.05;1.06;0.90;0.27;0.27;19.33;2.89;27.59;24.86
69;NEBoston;-0.02;0.06;2.04;-0.27;1.98;0.11;0.22;0.45;;0.68;;0.77;;-0.05;0.77;0.67;0.77;0.79;0.05;0.68;-0.32;0.35;-0.17;0.10;9.20;0.15;8.53;0.53;17.55;9.47;2.73;5.38;-0.03;1.07;2.28;29.03;2.75;42.09;36.15
69;NEUMassDartmouth;0.00;-0.04;1.84;-0.29;1.25;0.12;0.30;0.75;1.99;0.71;1.17;0.39;-2.62;-0.02;0.72;;0.86;0.49;0.07;0.64;0.91;-0.08;0.26;-0.07;9.56;-0.18;10.18;-0.43;16.32;8.93;2.24;5.82;-0.67;1.12;-0.70;25.17;2.80;36.08;34.01
70;MIStateChampionship;0.02;0.48;0.86;2.86;4.30;0.46;0.25;0.68;;0.64;0.73;0.66;;0.43;0.67;0.76;0.68;0.68;0.55;0.70;-0.04;0.19;-0.09;-0.01;16.37;-0.20;11.67;4.90;32.85;10.65;16.00;4.62;1.58;1.03;0.87;50.09;3.30;71.78;66.63
70;MIHowell;-0.03;0.53;-0.01;2.45;3.05;0.15;0.50;0.71;;0.77;0.23;0.81;;0.93;0.61;0.67;0.74;0.62;1.01;0.68;-0.32;-0.16;-0.11;-0.08;14.88;-0.19;9.92;5.15;28.64;13.81;12.21;2.51;0.11;0.51;-1.19;42.33;3.75;61.23;55.97
70;MIKetteringUniversity1;-0.01;0.00;0.00;0.97;1.00;0.00;0.20;0.57;0.77;0.31;0.29;0.49;0.35;0.80;0.75;0.30;0.43;0.48;0.73;0.60;0.00;0.05;-0.04;0.05;9.20;-0.52;9.74;-0.03;17.32;10.00;4.86;2.10;0.37;0.44;0.50;27.02;2.97;37.58;31.00
71;INPerryMeridian;0.33;0.01;3.52;0.51;4.44;0.49;0.47;0.71;2.12;0.89;;0.60;;1.02;0.46;;0.94;0.54;0.96;0.56;0.05;0.64;-0.07;-0.08;13.07;-0.09;11.45;1.72;36.28;12.82;9.61;1.24;12.62;1.09;2.80;52.16;3.71;75.30;73.81
71;INChampionship;-0.05;-0.04;3.64;-0.45;3.05;0.37;0.33;0.68;;0.67;0.58;0.69;;0.59;0.67;;0.68;0.69;0.65;0.68;-0.11;0.11;0.04;0.12;7.71;0.59;7.77;-0.66;31.96;12.95;5.00;2.09;11.91;1.21;1.11;40.78;3.37;58.75;56.57
71;INWalkerWarren;0.42;0.11;1.70;0.02;2.31;0.14;0.39;0.70;;0.78;0.79;0.29;4.39;0.91;0.51;1.27;0.75;0.41;0.75;0.59;0.05;0.23;-0.06;-0.11;7.89;0.41;4.26;3.22;28.78;13.91;3.49;1.11;10.27;0.91;0.60;37.27;3.21;52.51;48.50
73;FingerLakes;-0.04;-0.10;0.02;-0.03;-0.04;-0.02;0.04;0.51;;0.00;-0.58;0.34;;0.45;0.36;;0.19;0.06;0.28;0.48;0.11;-0.23;-0.11;0.20;-3.35;0.37;-2.50;-1.21;8.63;8.88;-0.12;2.54;-2.67;0.33;-0.14;5.14;1.53;8.83;5.61
74;MITraverseCity;0.00;0.05;3.70;0.27;4.06;0.14;0.53;0.67;1.05;0.08;0.90;0.52;0.24;0.06;0.88;;0.76;0.81;-0.27;0.85;0.37;0.14;-0.04;0.23;11.62;-0.40;11.49;0.54;31.47;8.44;8.76;0.24;14.03;0.98;1.84;44.94;2.84;64.73;59.00
74;MIStateChampionship;0.11;0.06;2.44;0.77;3.24;0.17;0.30;0.66;;0.55;0.64;0.73;;-0.02;0.67;0.17;0.43;0.70;0.14;0.67;0.02;0.80;0.14;0.15;11.45;0.07;10.25;1.13;25.98;7.89;8.73;1.64;7.72;0.84;4.73;42.16;2.60;58.78;52.46
74;INWalkerWarren;-0.06;0.05;2.48;-0.19;2.34;0.18;0.25;0.44;;0.86;0.99;0.77;-22.38;-0.04;0.52;0.40;0.85;0.77;-0.08;0.54;0.47;-0.14;-0.06;0.06;8.93;0.64;8.06;0.24;24.55;8.56;3.99;1.03;10.97;0.94;-0.37;33.11;2.52;46.72;42.66
74;MIWestMI;0.04;-0.18;1.84;-0.05;1.61;0.01;0.24;0.70;1.90;1.05;0.81;0.07;;-0.27;0.33;0.61;1.07;0.36;-0.41;0.51;-0.02;0.14;0.04;0.04;6.39;0.54;7.41;-1.56;18.40;7.43;3.42;-0.22;7.77;0.47;0.92;25.71;2.23;36.30;30.80
75;MARBridgewaterRaritan;0.08;0.27;0.89;1.19;2.39;0.24;0.18;0.67;;0.24;-0.07;0.51;;0.77;0.70;-44.00;0.18;0.40;0.70;0.69;-0.03;0.11;0.04;0.28;11.22;0.21;7.93;3.08;19.33;9.25;7.71;2.85;-0.48;0.54;1.94;32.49;2.64;46.55;42.09
