Bayou;LAKE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
2950;0.00;-0.03;-0.05;0.05;-0.03;-0.02;-0.06;0.24;;-0.16;-0.92;-0.16;;0.37;0.21;-8.30;0.07;-0.25;0.30;0.34;0.37;-0.36;0.00;-0.10;-3.09;0.74;-3.55;-0.28;6.58;5.30;0.15;1.43;-0.31;0.27;-2.30;1.19;0.71;2.87;-0.73;;;;;;;;;;;;
2992;-0.07;0.01;0.25;0.14;0.27;-0.04;0.44;0.81;;0.62;0.20;0.87;;0.35;0.62;-1.15;0.48;0.81;0.60;0.73;0.52;-0.26;0.06;-0.01;7.71;-0.18;8.19;-0.29;16.53;13.07;1.21;2.40;-0.15;0.47;-1.35;22.89;3.43;32.33;30.76;;;;;;;;;;;;
3039;0.03;-0.01;2.98;1.50;4.55;0.27;0.29;0.90;;0.00;0.58;0.83;;0.08;0.84;21.52;0.37;0.61;0.19;0.88;0.35;0.33;-0.04;0.06;5.27;0.23;5.00;0.04;31.39;12.27;13.48;4.61;1.04;0.99;1.92;38.58;2.95;60.17;51.12;;;;;;;;;;;;
3337;0.01;0.00;-0.16;0.56;0.41;-0.02;-0.07;0.44;;-0.07;0.63;1.14;;-0.26;0.44;4.54;0.04;0.92;-0.11;0.54;0.27;0.16;-0.01;0.04;5.91;-0.20;6.13;-0.01;11.62;6.08;2.47;2.01;1.06;0.47;0.98;18.52;1.83;24.38;16.65;;;;;;;;;;;;
3410;0.01;0.01;0.52;0.20;0.77;0.00;0.09;0.72;;0.11;0.16;0.52;;0.90;0.28;6.52;-0.14;0.55;1.02;0.56;-0.22;-0.01;-0.04;0.25;8.19;-0.12;8.23;0.08;12.57;9.48;2.04;1.70;-0.65;0.30;1.21;21.97;2.72;31.18;23.76;;;;;;;;;;;;
3481;0.04;0.00;-0.04;2.61;2.60;0.04;0.33;0.63;;0.13;0.23;0.30;;0.59;0.62;-4.28;0.11;0.62;0.33;0.63;0.37;-0.08;0.00;0.12;9.98;0.03;9.77;0.18;25.32;6.65;12.95;4.73;0.99;1.01;0.24;35.54;2.31;49.44;43.23;;;;;;;;;;;;
3606;0.06;-0.01;-0.61;0.69;0.07;-0.03;-0.22;0.38;;-0.15;0.50;0.33;;-0.60;0.59;11.56;-0.09;0.20;-0.41;0.78;0.46;0.19;0.06;0.00;1.61;1.13;0.24;0.24;6.72;4.13;2.22;0.56;-0.19;0.10;0.95;9.28;0.85;11.64;4.12;;;;;;;;;;;;
3616;0.07;0.01;1.09;0.00;1.19;0.09;-0.11;0.21;;-0.04;0.93;0.37;;0.23;0.51;-0.47;0.12;0.61;0.32;0.29;0.03;-0.24;-0.03;-0.06;6.09;0.91;4.79;0.39;8.23;5.40;2.17;0.88;-0.21;0.16;-1.50;12.82;1.56;20.43;13.01;;;;;;;;;;;;
3666;-0.04;-0.03;-0.13;0.41;0.13;0.01;0.44;0.75;;1.43;0.77;1.00;;0.04;1.19;-4.76;1.16;0.89;-0.25;0.56;0.22;0.03;0.08;0.04;8.27;0.26;8.50;-0.49;17.21;11.25;1.79;4.04;0.13;0.82;0.37;25.85;3.10;34.02;34.87;;;;;;;;;;;;
3753;-0.07;0.00;0.09;0.55;0.60;-0.04;0.09;0.60;;-0.38;0.17;0.94;;0.07;0.09;0.68;0.06;0.70;0.27;0.25;0.12;0.08;-0.03;-0.02;6.14;0.78;5.76;-0.40;11.94;6.52;2.95;2.78;-0.32;0.54;0.32;18.40;1.88;24.98;19.32;;;;;;;;;;;;
3847;-0.01;-0.02;0.70;0.25;0.61;-0.04;0.37;0.61;;1.13;1.12;1.01;;-0.81;0.98;-0.90;1.10;0.93;-0.45;0.96;0.38;0.65;0.32;-0.03;8.69;0.01;8.92;-0.24;14.83;11.27;2.67;1.31;-0.43;0.23;3.12;26.64;3.15;36.41;33.07;;;;;;;;;;;;
3946;0.01;0.00;-0.56;0.02;-0.38;0.09;0.32;0.50;;0.30;1.44;0.21;;1.24;0.43;1.52;0.16;0.76;0.84;0.49;0.28;0.09;-0.14;-0.04;0.35;-0.09;0.32;0.11;14.17;13.59;-1.02;1.53;0.07;0.31;0.27;14.78;2.75;20.47;23.45;;;;;;;;;;;;
3961;0.00;0.10;0.66;-0.60;0.15;0.03;0.05;0.35;;0.59;0.47;0.37;;-0.25;0.81;3.76;0.42;0.48;-0.13;0.46;-0.14;-0.03;0.00;-0.03;4.21;1.07;2.16;0.98;5.74;6.80;-1.68;0.45;0.16;0.10;-0.28;9.67;1.58;14.09;11.23;;;;;;;;;;;;
3991;-0.03;-0.01;0.83;0.81;1.41;0.05;0.30;0.70;;0.48;-0.13;1.08;;0.64;0.65;-0.37;0.86;0.63;0.70;0.79;0.71;-0.39;0.20;0.01;3.47;0.19;3.50;-0.22;26.37;16.65;5.71;4.55;-0.55;0.87;-1.87;27.96;3.68;41.56;35.28;;;;;;;;;;;;
4053;0.01;-0.01;-0.25;0.04;-0.24;-0.03;0.20;0.32;;-0.23;1.54;0.47;;0.56;0.79;10.11;-0.17;0.53;0.48;0.79;0.63;-0.03;0.02;-0.08;0.50;-0.74;1.32;-0.08;8.96;9.14;-0.33;0.73;-0.58;0.11;-0.53;8.94;1.96;13.08;12.34;;;;;;;;;;;;
4063;-0.07;0.07;0.24;1.72;2.00;0.00;0.71;0.76;;1.41;0.64;0.96;;0.28;0.58;-2.57;1.54;0.90;0.58;0.44;-0.04;0.21;-0.04;0.01;10.52;0.36;9.77;0.39;30.85;16.22;9.08;4.61;0.94;0.98;1.06;42.43;4.22;59.25;56.59;;;;;;;;;;;;
4087;0.09;0.09;-0.32;0.26;0.08;-0.02;-0.04;0.53;;-0.05;0.10;0.21;;0.30;0.65;-2.36;0.09;0.20;0.46;0.79;0.20;-0.23;0.04;0.00;2.66;0.78;0.57;1.31;9.59;10.03;0.67;-1.05;-0.06;-0.21;-1.17;11.08;2.06;16.47;9.64;;;;;;;;;;;;
4107;-0.07;-0.01;0.02;0.44;0.48;0.09;-0.08;0.15;;0.38;0.17;0.11;;0.00;0.09;-2.63;0.28;0.30;-0.04;0.11;-0.33;-0.12;-0.10;0.07;-1.91;0.48;-1.98;-0.41;10.36;5.02;2.22;1.69;1.42;0.43;-0.26;8.18;0.81;11.71;8.75;;;;;;;;;;;;
4179;0.01;0.00;0.22;-0.07;-0.01;-0.04;0.06;0.66;;-0.34;-0.81;0.75;;0.53;0.56;18.04;-0.06;0.48;0.57;0.47;0.24;-0.04;0.17;-0.09;1.42;0.24;1.11;0.08;11.04;10.07;0.10;1.07;-0.20;0.20;-0.63;11.83;2.12;17.12;12.17;;;;;;;;;;;;
4209;-0.02;-0.03;0.74;-0.20;0.58;0.02;-0.01;0.24;;0.03;0.59;0.68;;-0.19;-0.16;-0.30;-0.02;0.50;-0.16;0.01;-0.15;0.52;-0.09;-0.01;2.01;-0.47;2.88;-0.40;3.52;1.42;0.49;1.63;-0.02;0.32;2.52;8.05;0.57;11.28;8.33;;;;;;;;;;;;
4316;-0.02;-0.04;0.04;0.20;0.17;-0.01;0.16;0.91;;0.11;0.80;0.63;;0.79;0.86;-11.83;0.10;0.60;0.54;0.81;0.21;-0.06;0.01;-0.03;3.57;-0.58;4.64;-0.50;15.88;12.48;1.06;2.37;-0.03;0.47;-0.44;19.00;2.96;26.92;21.95;;;;;;;;;;;;
4353;-0.03;-0.01;-0.31;-0.04;-0.31;-0.01;0.11;0.51;;0.19;-0.05;0.84;;0.06;0.49;3.06;0.27;0.78;0.14;0.51;-0.06;-0.03;-0.09;0.11;5.30;0.22;5.34;-0.25;9.65;8.34;-0.83;1.74;0.40;0.38;0.40;15.36;2.20;19.90;17.26;;;;0;;;0;;;0;;0
4805;0.05;-0.02;-0.41;0.43;-0.12;-0.06;-0.05;0.39;;0.19;-0.45;0.86;;-0.31;0.76;2.56;0.39;0.38;-0.09;0.70;0.20;-0.29;0.17;0.03;-1.19;0.45;-1.71;0.07;9.41;9.72;1.32;-1.22;-0.40;-0.27;-1.30;6.92;1.77;10.97;4.55;;;;0;;;0;;;0;;0
4978;0.03;-0.01;-0.41;0.54;0.14;-0.02;0.12;0.16;;-0.10;0.71;0.70;;0.89;0.52;1.14;0.12;0.70;0.50;0.57;-0.04;0.38;0.01;0.00;1.85;2.10;-0.29;0.04;15.92;10.34;1.90;2.56;1.12;0.59;1.88;19.66;2.04;25.19;21.62;;;;0;;;0;;;0;;0
5168;0.01;-0.03;0.70;0.03;0.67;0.01;0.27;0.62;;-0.08;1.23;0.83;;0.55;0.94;8.46;0.00;0.74;0.35;0.87;0.17;0.30;0.05;0.16;3.70;0.88;3.02;-0.20;16.71;11.40;1.54;3.93;-0.15;0.78;2.31;22.72;2.58;31.25;28.33;;;;0;;;0;;;0;;0
5325;0.06;0.01;0.12;-0.03;-0.11;0.00;-0.05;0.44;;-0.19;-1.17;0.04;;0.82;0.32;5.01;0.00;-0.25;0.36;0.43;0.25;0.01;0.27;-0.07;-1.00;0.27;-1.63;0.36;7.16;5.70;0.10;1.47;-0.10;0.29;-0.30;5.86;0.98;7.94;4.99;;;;0;;;0;;;0;;0
5410;-0.07;0.10;-0.34;0.52;0.26;-0.02;0.08;0.57;;0.73;0.79;0.45;;-0.34;-0.09;4.64;0.79;0.72;-0.25;0.29;0.15;-0.08;-0.05;-0.05;5.75;0.77;4.30;0.67;13.26;8.46;1.91;3.14;-0.26;0.61;-0.68;18.32;2.12;24.44;19.40;;;;0;;;0;;;0;;0
5785;0.02;0.01;-0.04;0.03;0.03;0.02;-0.17;0.36;;-0.23;-0.42;0.75;;0.24;0.07;-6.77;-0.16;0.32;0.14;0.24;0.23;-0.05;-0.01;-0.07;-0.90;-0.34;-0.77;0.21;8.18;4.83;0.09;3.98;-0.73;0.75;-0.59;6.68;0.89;9.00;3.71;;;;0;;;0;;;0;;0
5819;0.06;-0.01;0.53;0.14;0.77;-0.03;0.09;0.78;;0.90;0.47;0.41;;0.21;0.40;-8.86;0.94;0.63;0.07;0.48;0.06;0.33;-0.05;-0.03;1.53;0.63;0.70;0.20;19.50;14.17;1.76;3.60;-0.02;0.72;1.53;22.57;2.90;32.24;23.61;;;;0;;;0;;;0;;0
5829;0.05;-0.01;-0.01;-0.38;-0.45;-0.01;0.46;0.70;;0.25;0.79;0.63;;0.63;0.60;-5.18;0.32;0.66;0.60;0.60;0.07;0.74;0.10;0.18;5.91;0.50;5.27;0.14;12.51;11.79;-1.94;3.25;-0.60;0.61;4.59;23.01;2.89;28.81;32.00;;;;0;;;0;;;0;;0
5863;-0.05;0.00;0.90;-0.03;0.85;0.00;0.11;0.80;;0.51;1.56;0.58;;0.30;0.55;-0.19;0.09;0.57;0.28;0.51;0.61;1.49;-0.03;-0.02;5.07;1.17;4.15;-0.25;12.56;9.20;1.65;2.10;-0.39;0.39;7.34;24.98;2.26;33.27;27.03;;;;0;;;0;;;0;;0
5864;-0.09;-0.01;0.31;-0.03;0.16;0.01;0.17;0.96;;0.22;0.58;0.24;;0.52;0.70;-4.30;-0.06;0.40;0.50;0.80;-0.14;0.05;0.01;0.15;3.71;0.41;3.88;-0.58;14.02;11.10;0.44;2.71;-0.23;0.53;1.02;18.75;2.61;25.76;22.31;;;;0;;;0;;;0;;0
5872;0.04;-0.02;0.09;-0.11;-0.06;0.01;-0.04;0.69;;-0.37;0.54;0.07;;0.08;0.21;3.52;-0.13;0.39;-0.06;0.52;0.58;0.15;0.06;-0.05;1.27;0.56;0.67;0.04;7.53;6.72;-0.36;1.25;-0.09;0.24;0.49;9.29;1.41;12.64;8.67;;;;0;;;0;;;0;;0
5953;0.51;-0.03;0.40;-0.56;0.36;-0.01;0.16;0.58;;0.04;0.07;0.66;;0.61;0.56;-4.12;-0.01;0.51;0.65;0.58;0.12;0.79;-0.02;-0.03;2.78;-0.24;0.70;2.31;11.67;11.23;-1.97;2.30;0.11;0.47;3.78;18.22;2.32;25.14;21.02;;;;0;;;0;;;0;;0
5965;0.01;-0.02;-0.02;-0.24;-0.46;0.00;-0.23;0.73;;0.31;-0.39;-0.17;;-0.34;0.01;-2.98;0.30;-0.18;-0.16;-0.12;0.09;-0.07;0.19;-0.04;1.84;-0.13;2.10;-0.13;-0.49;1.80;-1.25;-0.35;-0.69;-0.12;-0.54;0.81;0.57;0.79;-3.84;;;;0;;;0;;;0;;0
5971;0.05;-0.02;0.50;-0.39;0.12;0.12;0.09;0.81;;-0.43;0.30;0.45;;0.71;0.44;5.48;-0.31;0.48;0.83;0.35;0.19;-0.11;0.01;-0.01;6.22;1.10;5.09;0.04;9.27;8.26;-0.96;2.06;-0.08;0.41;-0.61;14.88;2.16;20.67;19.80;;;;0;;;0;;;0;;0
5997;0.01;-0.01;-0.31;-0.11;-0.39;-0.06;0.27;0.77;;-0.15;1.59;0.69;;1.10;0.37;-1.85;-0.15;0.75;0.84;0.19;0.60;0.73;-0.04;0.16;8.77;0.11;8.71;-0.06;9.54;7.64;-1.18;3.19;-0.10;0.63;4.46;22.77;2.40;27.56;26.60;;;;0;;;0;;;0;;0
6103;-0.13;0.02;-0.09;-0.30;-0.46;-0.01;0.01;0.59;;0.39;0.31;-0.34;;0.27;0.10;0.87;0.45;0.13;0.26;0.16;-0.14;0.25;-0.05;0.11;0.25;0.96;-0.20;-0.50;6.96;8.08;-1.70;0.80;-0.22;0.15;1.76;8.97;1.60;11.53;8.97;;;;0;;;0;;;0;;0
