MICenterLine;MICEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
1701;-0.02;0.13;2.31;0.58;2.96;0.15;0.47;0.50;;0.92;0.63;0.99;;0.93;0.98;0.64;1.12;0.71;0.54;0.82;0.33;0.62;0.04;0.08;8.97;-0.19;7.98;1.17;33.91;14.47;7.50;3.42;8.52;1.25;3.51;46.39;3.69;64.86;59.52;;;;;;;;;;;;
2048;0.06;0.04;1.04;0.27;1.39;0.00;-0.02;0.44;;0.00;0.77;1.19;;0.45;0.63;0.71;-0.02;0.97;0.43;0.76;0.01;0.25;0.02;0.01;9.54;0.64;8.16;0.74;15.26;8.80;3.45;3.81;-0.80;0.71;1.30;26.09;2.58;36.88;25.73;;;;;;;;;;;;
2591;-0.03;0.04;0.07;-0.18;-0.15;-0.01;0.10;0.08;;0.12;0.06;0.75;;0.74;-0.12;0.66;0.24;0.18;0.65;0.01;0.16;0.17;0.05;0.02;0.86;-0.36;0.94;0.28;4.95;5.35;-0.76;0.62;-0.25;0.11;0.93;6.74;1.16;9.20;8.49;;;;;;;;;;;;
2673;0.00;-0.04;0.56;0.40;0.99;-0.03;0.23;0.55;;0.24;0.83;0.71;;0.72;0.81;0.65;0.09;0.88;0.56;0.81;0.04;0.31;-0.07;0.00;9.73;0.22;9.95;-0.43;14.92;9.48;3.13;3.48;-1.18;0.62;1.57;26.22;2.89;36.55;30.13;;;;;;;;;;;;
3096;-0.04;0.04;-0.33;-0.15;-0.47;-0.03;-0.11;0.27;;0.07;0.15;0.40;;0.14;0.16;0.75;-0.02;0.23;0.28;0.25;-0.03;0.02;-0.01;-0.02;-2.67;0.30;-3.19;0.23;4.02;6.62;-1.41;0.90;-2.08;0.04;-0.02;1.33;1.00;2.37;-1.61;;;;;;;;;;;;
3098;-0.02;-0.07;0.50;1.29;1.56;0.06;0.32;0.65;;0.78;0.81;-0.02;;0.22;1.09;0.74;0.60;0.67;0.10;0.81;0.26;0.72;0.14;-0.09;5.59;0.65;5.70;-0.77;27.74;11.31;7.43;1.50;7.49;0.80;3.15;36.48;2.83;48.42;44.35;;;;;;;;;;;;
3175;0.02;-0.04;0.07;1.15;1.21;0.01;0.15;0.13;;0.04;0.48;1.08;;1.19;0.63;0.86;-0.03;0.56;0.86;0.67;0.17;-0.12;0.00;0.11;0.17;1.10;-0.60;-0.33;19.62;11.27;5.92;4.38;-1.94;0.75;-0.07;19.73;2.19;28.98;23.14;;;;;;;;;;;;
3398;0.05;-0.01;0.55;0.04;0.64;-0.04;0.26;0.72;;0.32;0.49;0.64;;0.68;0.71;0.75;0.26;0.53;0.71;0.56;-0.03;-0.30;-0.01;0.00;10.29;0.58;9.53;0.17;11.91;9.10;1.28;3.98;-2.43;0.63;-1.49;20.71;2.77;29.64;24.94;;;;;;;;;;;;
3619;-0.03;0.06;-0.39;-0.06;-0.70;-0.01;0.07;0.86;;0.33;0.45;1.27;;-0.02;0.04;0.34;0.40;0.67;-0.28;0.36;0.55;0.01;0.27;-0.08;0.77;0.27;0.11;0.40;6.86;10.03;-1.09;1.01;-3.09;0.00;-0.35;7.28;2.02;10.13;8.51;;;;;;;;;;;;
3632;-0.03;0.00;0.39;-0.08;0.28;0.07;0.19;0.60;;0.10;0.62;0.69;;0.42;0.11;0.81;0.41;0.56;0.36;0.38;0.24;-0.30;-0.01;0.03;9.68;0.43;9.40;-0.15;9.76;6.88;0.36;3.00;-0.48;0.57;-1.38;18.06;2.32;24.73;23.57;;;;;;;;;;;;
4507;0.01;-0.01;-0.52;-0.03;-0.57;-0.02;0.13;0.93;;0.07;0.69;0.20;;-0.24;0.77;0.51;0.23;0.34;0.05;0.77;0.43;-0.16;0.02;0.01;-0.04;0.30;-0.27;-0.08;12.23;11.72;-1.20;1.10;0.62;0.26;-0.73;11.46;2.32;15.46;13.67;;;;;;;;;;;;
4680;-0.04;0.03;0.26;0.12;0.39;0.04;0.50;0.92;;1.11;0.98;0.53;;0.72;0.81;0.94;1.05;0.92;0.82;0.84;0.63;0.68;-0.01;0.01;8.40;0.17;8.10;0.13;28.38;18.69;1.13;5.45;3.11;1.30;3.42;40.20;4.55;52.79;51.28;;;;;;;;;;;;
4811;-0.03;-0.06;-0.12;0.10;-0.12;-0.03;-0.02;0.66;;0.10;0.21;0.16;;0.04;0.01;0.67;0.16;0.30;0.13;0.24;0.55;0.02;0.00;-0.06;-0.04;-0.23;0.96;-0.77;8.67;6.96;0.23;2.39;-0.91;0.42;-0.18;8.45;1.49;11.79;7.25;;;;;;;;;;;;
4815;0.06;-0.06;-0.18;-0.18;-0.32;-0.01;0.34;0.43;;0.26;0.45;0.33;;0.44;0.74;0.72;0.15;0.53;0.48;0.68;0.26;0.11;-0.04;0.08;1.06;2.22;-0.84;-0.31;13.14;11.74;-1.25;2.78;-0.13;0.55;0.97;15.17;2.26;19.84;21.66;;;;;;;;;;;;
4851;0.00;-0.03;-0.07;0.36;0.17;-0.02;0.34;0.76;;0.53;0.52;0.67;;0.09;0.38;0.75;0.60;0.66;0.04;0.63;0.08;0.51;0.09;0.01;0.03;0.51;-0.14;-0.34;17.48;13.53;1.68;2.07;0.20;0.43;2.58;20.08;2.69;27.35;26.45;;;;;;;;;;;;
5053;0.33;0.03;2.32;-0.09;2.61;0.08;0.44;0.92;;0.69;0.88;1.15;;0.35;1.10;0.47;0.80;0.85;0.29;0.94;-0.10;0.43;-0.01;-0.04;8.99;0.60;6.43;1.97;24.00;15.78;4.20;1.24;2.78;0.43;1.93;34.92;3.80;52.58;45.74;;;;;;;;;;;;
5068;-0.01;-0.01;-0.18;0.05;-0.12;-0.01;-0.04;0.64;;0.06;0.65;0.67;;0.21;0.51;0.38;0.17;0.63;0.14;0.53;0.14;0.47;-0.03;0.18;1.29;1.29;0.13;-0.14;9.00;10.46;-0.10;-0.16;-1.20;-0.11;3.24;13.53;2.11;18.42;12.46;;;;;;;;;;;;
5197;0.00;0.05;0.13;0.02;0.27;0.01;-0.11;0.46;;-0.25;-0.07;0.02;;0.23;0.14;0.36;-0.15;-0.02;0.20;0.29;0.68;0.09;-0.08;-0.03;3.37;-0.03;2.96;0.44;1.95;2.46;0.35;-2.62;1.76;-0.41;0.28;5.60;0.79;8.42;3.69;;;;;;;;;;;;
5214;0.05;0.03;0.15;0.01;0.34;-0.02;-0.18;0.39;;0.11;0.57;-0.07;;0.30;0.31;0.59;0.22;0.43;0.42;0.37;0.62;-0.01;-0.09;0.02;0.08;0.00;-0.47;0.55;10.24;9.41;0.37;2.71;-2.25;0.39;0.06;10.38;1.84;16.02;6.29;;;;;;;;;;;;
5239;-0.01;-0.01;-0.55;0.18;-0.26;-0.03;-0.09;0.41;;-0.07;0.23;-0.51;;0.27;0.04;0.65;-0.15;0.20;0.24;0.21;0.56;-0.38;-0.12;0.11;2.27;1.86;0.56;-0.15;4.64;4.26;-0.18;0.47;0.08;0.10;-1.33;5.58;0.91;7.03;3.01;;;;;;;;;;;;
5478;0.00;-0.03;0.46;0.39;0.90;0.00;0.37;0.96;;0.07;0.55;0.34;;0.48;0.56;0.68;-0.07;0.54;0.78;0.63;0.26;1.47;-0.07;0.19;6.79;-0.06;7.17;-0.32;18.85;10.58;2.88;3.60;1.78;0.84;8.31;33.95;2.83;43.83;41.22;;;;;;;;;;;;
5532;0.07;0.02;-0.43;-0.24;-0.72;-0.01;0.00;0.20;;-0.08;-0.27;0.58;;0.47;0.63;0.81;-0.09;0.10;0.26;0.53;0.47;0.59;0.14;0.04;-0.16;0.30;-0.96;0.50;1.36;5.50;-2.05;-0.26;-1.83;-0.17;3.15;4.35;1.00;4.61;3.92;;;;;;;;;;;;
5555;0.06;0.07;1.23;0.10;1.56;-0.02;0.13;0.39;;0.22;0.33;0.87;;0.29;0.55;0.68;0.19;0.37;0.30;0.56;-0.17;0.82;-0.10;0.22;3.54;-0.56;3.04;1.06;14.03;7.52;2.95;-0.43;3.98;0.18;5.19;22.77;1.81;32.17;24.87;;;;;;;;;;;;
5567;-0.04;-0.03;0.55;0.08;0.56;-0.04;0.59;0.86;;0.91;0.88;0.58;;0.88;0.51;0.79;0.80;0.82;1.00;0.66;0.12;-0.02;0.01;-0.06;7.69;0.21;7.93;-0.45;27.59;16.74;1.51;3.44;5.91;1.08;-0.38;34.91;4.14;47.01;45.60;;;;;;;;;;;;
5623;0.00;-0.04;-0.18;-0.29;-0.52;-0.01;0.01;0.61;;-0.02;0.50;0.20;;0.12;0.98;0.51;0.23;0.39;0.21;0.69;-0.13;0.44;0.02;0.09;8.17;0.63;7.96;-0.42;10.15;6.69;-1.79;2.35;2.90;0.66;2.67;21.00;2.13;24.69;20.90;;;;;;;;;;;;
5642;-0.03;0.01;0.21;-0.03;0.15;-0.02;0.14;0.81;;0.41;0.34;0.50;;0.02;0.50;0.55;0.46;0.54;0.08;0.56;0.82;0.11;0.01;0.05;8.75;-0.14;8.98;-0.10;9.91;7.76;0.28;3.06;-1.19;0.53;0.79;19.45;2.45;26.06;21.93;;;;;;;;;;;;
5756;-0.03;-0.06;0.06;0.40;0.09;-0.01;0.13;0.72;;0.08;0.85;0.65;;-0.19;0.57;0.58;0.04;0.65;-0.28;0.57;0.70;0.71;0.28;0.01;6.09;0.51;6.33;-0.75;8.62;5.32;2.11;1.64;-0.45;0.30;3.61;18.33;1.70;22.84;20.73;;;;;;;;;;;;
5915;0.01;-0.04;0.32;-0.15;0.15;-0.02;0.04;0.91;;0.56;0.70;0.20;;-0.14;0.42;0.65;0.81;0.60;-0.09;0.27;-0.18;0.34;-0.02;0.01;6.85;0.18;7.07;-0.40;9.93;8.95;-0.10;1.48;-0.40;0.27;1.78;18.56;2.50;25.29;18.82;;;;;;;;;;;;
6096;0.07;0.07;-0.32;-0.02;-0.24;-0.02;0.11;0.36;;0.61;0.20;-0.24;;0.40;0.23;0.84;0.60;0.09;0.21;0.38;0.53;0.29;0.04;0.03;1.38;0.22;0.10;1.07;8.90;8.22;-0.75;2.37;-0.93;0.41;1.59;11.88;1.65;15.25;13.56;;;;;;;;;;;;
6099;-0.03;0.00;0.18;-0.21;-0.03;-0.01;0.02;0.51;;0.18;-0.29;0.95;;-0.11;-0.29;0.65;0.19;0.16;0.13;0.20;1.21;0.00;-0.03;-0.07;2.91;-0.23;3.33;-0.19;5.22;4.27;-0.69;2.64;-1.00;0.46;-0.35;7.78;1.19;10.65;7.97;;;;0;;;0;;;0;;0
