team;best event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
384;CHDistrictChampionship;0.03;0.45;2.51;0.30;3.19;0.05;0.36;0.65;;0.74;0.64;0.65;;0.73;0.61;;0.49;0.67;0.64;0.61;-0.23;-0.14;0.10;-0.03;9.72;0.02;5.08;4.62;24.04;12.76;6.52;2.96;1.81;0.71;-0.85;32.92;3.06;50.52;41.33
401;CHDistrictChampionship;0.06;0.06;0.01;1.91;2.05;0.35;0.33;0.66;;0.80;0.69;0.67;;0.24;0.68;;0.77;0.66;0.19;0.67;0.08;0.32;-0.02;-0.05;8.59;0.52;7.22;0.86;27.06;11.12;9.56;5.25;1.14;1.13;1.36;37.02;2.95;50.79;52.30
422;CHDistrictChampionship;0.07;0.04;2.79;0.59;3.41;0.37;0.34;0.66;;0.89;0.69;0.65;;0.44;0.72;;0.76;0.66;0.40;0.71;-0.07;0.21;0.08;0.22;8.52;0.06;7.74;0.72;24.81;12.10;8.55;6.50;-2.34;1.14;2.14;35.46;3.19;54.10;51.37
423;MARWesttown;0.00;0.08;3.64;-0.79;2.80;0.17;0.16;0.71;-8.67;0.14;0.80;0.69;;1.00;0.68;;0.16;0.72;0.68;0.67;0.01;0.10;0.12;0.12;8.51;0.20;7.53;0.77;19.12;10.95;3.35;4.57;0.26;0.93;1.12;28.74;2.94;44.86;36.15
433;MARWesttown;-0.01;-0.01;2.14;0.03;2.01;-0.02;0.35;0.72;54.33;0.42;0.69;0.66;;0.99;0.71;;0.43;0.69;0.39;0.68;-0.38;0.05;0.15;0.09;5.51;0.95;4.65;-0.09;21.18;12.25;4.43;2.29;2.20;0.61;0.71;27.39;2.92;40.97;33.86
461;INChampionship;0.00;0.02;-0.48;4.74;4.28;0.33;0.34;0.66;;0.70;0.87;0.69;;-0.07;0.68;;0.67;0.69;-0.02;0.68;0.55;0.22;0.01;0.05;9.16;0.22;8.74;0.20;37.63;9.02;22.77;4.25;1.59;0.96;1.35;48.14;2.68;68.19;63.20
494;MIStateChampionship;-0.08;0.41;-0.51;3.61;3.50;0.07;0.37;0.68;;0.85;0.64;0.68;;0.57;0.68;0.60;0.86;0.64;0.57;0.67;0.28;0.11;-0.06;-0.03;13.05;0.00;9.32;3.73;36.40;12.39;17.02;2.53;4.46;0.80;0.41;49.86;3.41;69.30;59.02
498;ArizonaWest;0.00;-0.03;0.13;2.93;3.15;0.03;0.29;0.77;;0.98;0.72;0.37;;-0.10;0.44;1.16;1.05;0.60;0.03;0.70;0.18;0.16;-0.11;0.30;6.74;0.18;6.82;-0.27;30.65;12.34;14.93;5.34;-1.95;0.94;2.28;39.56;3.15;57.27;46.22
503;MILakeSuperiorStateUniversity;0.04;-0.04;4.12;0.56;4.75;0.44;0.42;0.73;-7.16;1.06;0.64;0.65;-0.09;-0.18;0.47;0.83;0.85;0.59;0.00;0.59;0.03;0.36;-0.06;0.06;11.57;-0.21;11.93;-0.14;31.43;7.84;11.05;2.96;9.59;1.23;2.12;45.12;2.76;66.85;64.46
525;Iowa;0.00;0.49;-0.80;3.86;3.62;0.23;0.46;0.70;;0.97;0.72;0.88;;0.02;0.81;0.37;0.87;0.78;-0.03;0.66;0.16;0.22;-0.06;0.07;14.71;-0.18;9.97;4.92;37.70;9.96;17.71;4.26;5.77;1.24;1.44;53.85;2.99;72.63;68.71
537;Wisconsin;-0.04;-0.04;1.32;0.33;1.54;0.16;0.14;0.67;;0.43;0.36;0.74;;0.35;-0.04;;0.30;0.59;0.35;0.19;-0.25;0.04;0.03;-0.05;4.58;0.51;4.64;-0.58;15.12;8.20;4.29;2.47;0.15;0.50;-0.06;19.63;2.10;29.70;26.30
538;RocketCity;0.00;-0.14;0.84;0.05;0.72;0.03;0.01;0.58;-0.15;-0.22;0.46;0.35;;0.55;0.58;;-0.12;0.57;0.60;0.56;-0.22;0.12;0.04;0.03;6.73;0.08;8.03;-1.38;13.58;6.89;1.92;4.26;0.52;0.89;0.73;21.04;2.18;28.73;21.95
540;CHDistrictChampionship;0.00;-0.03;0.62;0.90;1.54;-0.17;0.33;0.68;;0.14;0.67;0.67;;0.32;0.62;;0.29;0.68;0.21;0.62;0.14;0.17;-0.06;0.35;6.13;0.78;5.64;-0.28;20.02;9.58;5.74;3.65;1.05;0.80;2.59;28.74;2.48;39.77;31.30
548;MIStateChampionship;0.03;0.36;0.41;3.27;3.89;0.22;0.36;0.70;;0.70;0.64;0.69;;0.28;0.44;0.65;0.73;0.68;0.34;0.51;0.07;-0.19;0.18;0.29;12.49;0.28;8.47;3.74;31.15;10.59;17.17;4.78;-1.38;0.86;0.52;44.16;2.96;63.73;56.99
558;NEDistrictChampionship;0.02;0.14;-0.56;3.58;3.08;0.09;0.36;0.70;;0.69;0.67;0.69;;0.51;0.68;0.67;0.65;0.69;0.53;0.67;0.43;0.03;0.09;-0.02;10.40;0.35;8.57;1.47;39.37;11.90;16.78;0.32;10.38;0.76;0.03;49.80;3.24;67.53;59.24
573;MIStateChampionship;0.05;0.08;0.45;3.26;3.93;0.08;0.27;0.69;;0.68;0.54;0.67;;0.05;0.71;0.76;0.53;0.60;0.14;0.68;-0.17;0.02;-0.10;0.12;10.99;0.06;9.92;1.01;28.93;8.17;17.18;3.67;-0.09;0.73;0.72;40.64;2.63;59.48;47.84
597;LasVegas;-0.02;-0.05;-0.51;0.23;-0.37;-0.09;0.02;0.67;;0.31;0.90;0.73;;-0.74;0.65;0.67;0.48;0.70;-0.30;0.69;0.54;0.69;0.02;0.16;7.00;0.40;7.22;-0.62;12.92;7.58;0.16;4.11;1.06;0.89;4.28;24.16;2.24;28.61;22.40
604;SiliconValley;0.00;0.13;-0.85;0.22;-0.52;-0.08;0.22;0.75;;0.81;;0.56;;-0.04;0.70;;0.78;0.66;-0.26;0.66;0.63;-0.04;0.01;-0.01;9.25;-0.02;7.97;1.31;11.88;8.95;-0.62;5.04;-1.49;0.91;-0.27;20.86;2.59;25.71;23.34
610;Waterloo;0.27;-0.02;4.17;1.50;5.87;0.12;0.31;0.69;;0.78;0.65;0.68;;0.12;0.63;0.67;0.73;0.65;0.26;0.63;0.06;0.86;0.05;0.03;7.30;0.31;5.83;1.16;37.96;11.88;15.83;-0.62;10.86;0.60;4.46;49.71;2.96;75.44;58.84
623;CHDistrictChampionship;-0.08;-0.06;1.70;-0.30;1.49;-0.08;0.34;0.69;;0.76;0.67;0.67;;0.80;0.64;;0.84;0.67;0.59;0.65;0.33;0.49;-0.22;-0.05;7.60;0.40;8.16;-0.95;22.83;13.13;1.89;0.49;7.33;0.59;2.18;32.62;3.44;45.87;37.34
639;FingerLakes;0.44;-0.04;3.40;-0.12;3.61;0.37;0.25;0.68;;0.51;0.48;-0.01;;0.06;0.75;;0.64;0.49;0.06;0.67;0.06;0.04;0.06;0.05;10.80;0.15;8.86;1.79;24.98;8.21;6.17;2.35;8.25;1.02;0.45;36.24;2.53;53.85;50.41
670;CentralValley;0.00;-0.07;0.07;1.03;1.14;-0.12;0.23;0.83;;0.51;0.91;0.65;0.72;-0.27;0.89;;0.33;0.70;-0.02;0.80;-0.04;-0.12;-0.11;0.01;5.76;0.93;5.55;-0.72;17.58;10.39;5.28;3.18;-1.27;0.55;-0.55;22.79;2.63;32.94;24.50
686;CHDistrictChampionship;-0.01;0.22;-0.01;2.75;2.86;0.52;0.38;0.68;;0.14;0.71;0.66;;0.83;0.73;;0.24;0.67;0.97;0.75;0.56;0.08;0.09;-0.13;9.03;0.55;6.39;2.09;33.33;13.35;13.76;6.92;-0.70;1.34;-0.26;42.10;3.31;59.32;62.73
694;NewYorkCity;-0.06;0.03;0.17;1.44;1.58;0.13;0.35;-0.09;;1.09;;0.31;22.52;-0.07;0.47;-32.22;0.72;0.54;0.30;0.56;-0.32;0.37;0.00;-0.07;4.49;0.04;4.43;0.02;20.35;7.91;7.53;3.39;1.52;0.78;1.51;26.41;2.02;36.41;36.77
708;MARSpringsideChestnutHill;0.00;-0.03;4.87;0.15;4.91;0.32;0.36;0.67;;0.17;0.63;0.74;-2.24;0.68;0.72;0.67;0.17;0.63;0.49;0.69;0.21;-0.12;0.08;0.15;10.93;-0.05;11.24;-0.25;29.42;7.63;10.47;0.35;10.98;0.80;0.17;40.53;2.65;62.50;55.76
746;TorontoEast;-0.05;-0.16;0.39;0.78;1.04;0.15;0.20;0.73;;0.73;0.75;0.51;-0.29;-0.06;0.66;0.73;0.63;0.47;0.02;0.64;-0.10;-0.30;-0.09;0.00;4.47;0.78;5.53;-1.84;19.11;9.63;4.65;7.44;-2.62;1.31;-1.53;22.04;2.48;31.49;29.90
771;WindsorEssex;-0.03;-0.12;0.33;-0.19;0.07;-0.18;0.28;0.64;;0.45;5.16;0.57;;0.03;0.74;;0.55;0.51;-0.01;0.83;0.17;0.03;-0.07;-0.07;8.93;0.12;10.13;-1.32;9.44;7.58;-0.26;1.29;0.83;0.31;-0.21;18.15;2.53;24.70;19.21
781;Buckeye;0.10;-0.08;3.44;0.65;3.96;0.03;0.44;0.86;;0.82;0.77;0.62;-0.90;0.40;0.66;0.88;0.90;0.69;-0.22;0.62;0.52;-0.13;0.16;-0.05;4.60;0.08;4.77;-0.25;26.61;11.82;10.15;3.19;1.45;0.73;-0.90;30.30;2.84;49.78;39.75
812;SanDiego;0.01;0.01;0.04;1.59;1.67;0.02;0.16;0.62;0.67;0.38;0.71;0.51;0.00;0.43;1.10;1.24;0.43;0.49;0.63;0.95;0.31;0.43;-0.02;-0.04;8.47;-0.32;8.67;0.12;25.28;11.22;8.03;6.35;-0.33;1.25;1.96;35.70;3.11;48.70;11.69
836;CHSCentralMaryland;0.47;0.00;5.27;0.02;5.63;0.31;0.47;0.75;1.68;0.93;1.01;0.82;;0.82;0.86;0.67;1.07;0.76;0.35;0.77;0.22;0.80;0.12;0.12;11.86;-0.53;10.04;2.34;28.56;13.51;10.62;3.81;0.62;0.80;4.61;45.03;3.71;71.89;62.01
839;NEHartford;0.16;0.03;5.67;-0.05;5.63;0.41;0.45;0.70;1.08;0.91;0.52;0.72;;-0.24;0.68;0.67;0.97;0.53;-0.20;0.69;-0.15;0.84;0.18;-0.02;6.36;0.80;4.43;1.13;26.91;11.19;11.09;4.98;-0.34;0.97;4.09;37.36;2.68;61.66;56.77
842;LasVegas;0.00;0.14;-0.31;3.66;3.45;0.20;0.35;0.59;;0.77;0.57;0.54;;-0.12;0.56;0.67;0.79;0.65;0.16;0.71;0.41;-0.16;0.05;0.09;9.46;0.12;7.92;1.42;35.03;10.51;17.70;2.57;4.25;0.80;-0.36;44.08;2.89;62.09;56.01
858;MIStateChampionship;-0.07;-0.06;0.34;4.39;4.42;0.38;0.34;0.68;;0.50;0.68;0.68;;0.45;0.56;0.67;0.57;0.66;0.54;0.60;-0.32;-0.20;0.19;0.06;6.26;0.36;6.91;-1.01;39.86;11.81;22.66;5.87;-0.48;1.14;-0.69;45.43;3.05;66.87;61.66
868;INChampionship;0.01;0.71;0.87;3.36;4.91;0.22;0.35;0.67;;0.71;0.62;0.67;;0.52;0.66;;0.74;0.68;0.33;0.68;0.31;0.28;0.04;-0.07;17.88;-0.32;11.02;7.19;30.33;9.90;18.53;3.81;-1.90;0.64;1.06;49.28;3.08;72.33;61.65
869;MARMontgomery;-0.02;0.14;-0.68;3.49;2.81;0.22;0.31;0.52;-0.42;0.40;0.80;0.63;;0.02;0.75;;0.21;0.73;0.21;0.75;0.27;0.61;0.11;0.06;8.38;0.47;6.67;1.25;39.09;8.74;16.07;1.01;13.27;1.09;3.38;50.86;2.41;65.68;62.41
870;SBPLILongIsland;0.03;0.02;0.26;3.33;3.63;0.18;0.64;0.57;0.81;0.88;1.06;0.85;;0.10;0.79;;1.10;0.78;0.00;0.82;-0.25;-0.22;0.02;0.29;7.18;0.31;6.50;0.37;36.86;13.08;17.19;2.03;4.55;0.71;0.39;44.42;3.27;63.91;61.66
876;NorthernLights;0.00;0.03;0.56;3.74;4.37;-0.01;0.39;0.85;-0.39;-0.30;;0.90;;0.74;0.89;;0.45;0.77;0.23;0.87;-0.07;0.60;-0.05;0.33;4.48;1.43;2.78;0.28;40.29;14.41;19.79;1.48;4.60;0.60;4.65;49.42;3.16;70.98;57.02
894;MIHowell;0.02;-0.06;0.09;2.25;2.36;0.05;0.30;0.75;;0.68;1.13;0.75;;-0.03;0.76;0.67;0.64;0.81;0.09;0.73;0.04;1.31;-0.06;0.02;7.37;0.69;7.19;-0.50;26.72;11.50;11.41;3.91;-0.09;0.77;6.65;40.75;3.02;55.67;48.04
904;MIEscanaba;0.00;0.00;2.34;0.59;2.96;0.17;0.15;0.71;0.13;0.49;0.33;0.82;0.12;0.14;0.92;0.54;0.32;0.54;0.17;0.68;0.11;0.00;-0.03;-0.07;7.58;-0.01;7.59;0.00;25.69;8.13;7.64;0.80;9.12;0.77;-0.37;32.90;2.38;48.11;40.16
910;WindsorEssex;-0.01;0.28;-0.49;3.36;3.28;0.25;0.46;0.66;;0.95;27.22;0.61;;0.18;0.76;;0.72;0.78;0.15;0.75;0.36;0.94;-0.13;-0.05;17.03;-0.55;14.80;2.78;29.88;7.93;15.85;6.13;-0.03;1.22;4.43;51.34;3.07;69.26;66.79
932;Oklahoma;0.00;0.03;3.24;0.00;3.30;0.11;0.17;0.73;;-0.42;0.91;0.79;0.25;0.02;0.94;0.53;0.10;0.69;0.01;0.74;-0.18;0.08;-0.02;-0.01;8.31;0.61;7.36;0.34;19.54;7.66;6.49;4.82;0.56;1.00;0.38;28.23;2.27;44.22;34.42
955;PNWDistrictChampionship;-0.01;0.25;0.11;1.90;2.11;0.30;0.36;0.66;;0.74;0.67;0.75;;0.15;0.67;;0.77;0.69;0.07;0.67;0.11;0.35;0.14;-0.10;8.82;0.77;5.61;2.44;26.63;11.49;9.72;6.74;-1.32;1.26;1.27;36.71;2.86;50.44;51.52
971;Sacramento;0.00;0.99;0.77;5.32;6.98;0.56;0.69;0.76;;1.45;1.00;;-34.33;-1.00;0.93;1460826524490110.00;1.48;1.06;-0.60;0.90;0.31;1.64;0.09;-0.24;18.11;0.88;7.32;9.92;52.02;14.36;28.11;6.88;2.66;1.55;6.99;77.13;3.60;107.96;105.06
973;Ventura;-0.01;0.41;0.75;4.05;5.14;0.38;0.54;0.69;0.57;1.21;0.55;1.07;;-0.03;0.73;0.81;0.99;0.85;0.09;0.66;-0.16;0.18;0.05;0.04;13.17;-0.16;9.33;3.99;36.72;11.75;21.74;6.95;-3.72;1.14;1.10;50.99;3.28;75.26;71.22
980;Ventura;0.01;0.10;2.47;0.21;2.83;0.08;0.24;0.60;-0.17;0.26;0.86;0.53;;0.11;0.61;-0.25;0.20;0.79;0.17;0.67;-0.46;-0.03;-0.04;0.10;8.35;0.18;7.11;1.06;19.02;8.58;6.00;5.59;-1.15;1.04;0.37;27.73;2.43;42.64;34.73
987;ArizonaWest;0.00;0.74;0.43;5.56;6.60;0.64;0.63;0.79;;0.65;0.96;0.62;;0.30;1.23;0.83;0.74;0.85;0.12;0.88;0.42;0.26;0.14;-0.02;16.41;0.58;8.41;7.42;49.30;12.73;28.69;7.16;0.72;1.48;1.16;66.89;3.39;95.98;95.57
999;NEDistrictChampionship;-0.01;0.31;0.09;2.68;2.95;0.24;0.36;0.71;;0.69;0.67;0.67;;-0.04;0.74;0.67;0.72;0.69;-0.02;0.70;0.54;0.02;0.12;0.11;13.19;-0.14;10.28;3.05;27.09;8.84;13.58;4.76;-0.10;0.95;0.61;40.90;2.80;57.10;53.95
1011;Colorado;0.06;-0.01;6.08;0.12;6.02;0.41;0.47;0.73;0.59;1.39;0.83;0.82;;0.31;0.78;0.77;1.17;0.81;0.25;0.71;0.52;0.11;0.23;0.24;12.13;-0.35;12.27;0.21;30.68;12.21;12.74;6.82;-1.10;1.29;1.77;44.57;3.67;72.54;64.26
1023;MIStateChampionship;-0.02;0.35;0.23;4.13;4.70;0.01;0.35;0.66;;0.17;0.70;0.76;;0.49;0.61;0.84;0.29;0.68;0.54;0.67;-0.02;0.26;-0.02;0.12;11.63;0.36;7.91;3.36;37.44;10.29;21.12;1.31;4.72;0.58;1.86;50.93;2.85;72.74;58.13
1024;INChampionship;0.05;0.12;-1.09;6.34;5.45;0.35;0.36;0.68;;0.48;0.55;0.67;;0.11;0.68;;0.54;0.69;-0.14;0.68;0.03;0.69;-0.03;-0.05;12.69;-0.30;11.56;1.43;40.76;6.42;29.53;3.88;0.95;0.84;3.22;56.67;2.44;79.79;72.74
1058;NERhodeIsland;0.00;-0.04;4.33;-0.28;4.01;0.14;0.45;0.59;;1.17;0.74;0.80;-9.75;-0.19;0.71;0.67;1.15;0.74;0.00;0.72;-0.10;0.52;0.00;0.42;6.89;0.34;6.95;-0.39;33.34;12.52;7.24;3.16;10.42;1.33;4.71;44.94;3.20;65.47;57.63
1065;SouthFlorida;0.11;-0.13;0.20;4.05;4.37;0.19;0.59;0.70;;0.66;0.33;-0.09;;0.84;0.80;-7.63;0.93;0.54;0.85;0.74;-0.21;-0.07;-0.14;0.03;8.02;-0.11;8.89;-0.77;39.10;14.31;20.64;5.02;-0.86;0.95;-0.21;46.91;3.75;69.93;63.53
1073;NEBoston;0.02;-0.07;-0.01;0.26;0.17;-0.06;0.35;0.41;;0.86;;0.45;;0.58;0.71;0.67;0.86;0.61;0.66;0.69;0.63;0.09;0.03;0.08;0.90;0.55;0.96;-0.61;20.95;15.63;1.26;2.32;1.74;0.58;0.82;22.67;3.22;31.26;28.15
1086;CHDistrictChampionship;0.25;0.08;0.81;2.26;3.17;0.32;0.35;0.57;;0.75;0.62;0.67;;0.27;0.74;;0.82;0.67;0.38;0.74;0.33;-0.29;0.22;0.12;10.72;0.07;8.60;2.05;28.96;11.64;12.93;6.16;-1.77;1.11;-0.80;38.88;3.19;56.77;54.06
1089;MARDistrictChampionship;0.03;0.60;0.90;2.36;3.38;0.17;0.34;0.68;;0.79;0.77;0.73;;0.04;0.59;;0.81;0.71;-0.07;0.59;0.09;0.18;0.51;-0.09;11.29;0.80;4.31;6.18;29.71;11.49;13.61;3.56;1.05;0.78;0.44;41.45;2.73;58.85;52.61
1099;NEWaterbury;0.00;-0.01;3.44;-0.03;3.44;0.09;0.51;0.72;0.11;0.14;1.04;1.00;0.57;0.17;0.83;0.70;0.41;0.91;0.53;0.78;-0.03;0.47;-0.04;0.02;8.10;0.44;7.78;-0.11;24.31;12.83;6.73;4.37;0.38;0.90;2.42;34.83;3.34;53.93;35.91
1114;Waterloo;-0.01;0.80;1.05;3.40;5.13;0.44;0.45;0.72;;0.91;0.71;0.68;;0.30;0.64;0.67;0.88;0.72;-0.02;0.69;-0.26;-0.02;0.11;-0.06;20.59;-0.06;12.69;7.96;38.93;8.61;19.12;2.15;9.05;1.03;-0.43;59.09;2.99;82.61;79.11
1123;CHSCentralMaryland;0.12;0.00;-0.21;0.20;0.11;-0.02;0.24;0.62;1.38;0.33;0.51;0.48;;-0.02;0.55;0.67;0.58;0.56;0.28;0.57;0.07;0.04;0.01;0.13;8.41;0.70;7.09;0.62;10.88;9.52;0.59;1.89;-1.13;0.30;0.86;20.15;2.61;27.01;24.54
1124;NEHartford;-0.01;0.51;1.57;2.20;4.18;0.06;0.21;0.69;0.30;0.26;0.65;0.59;;0.39;0.67;0.67;0.26;0.75;0.31;0.68;0.51;0.50;0.09;-0.07;13.88;0.29;8.58;5.02;26.01;9.18;14.15;2.80;-0.12;0.55;2.16;42.05;2.69;61.84;47.61
1126;FingerLakes;0.00;0.23;2.64;0.03;2.75;0.11;0.33;0.71;;0.70;0.18;0.71;;0.37;0.41;;0.93;0.52;0.13;0.53;-0.08;-0.21;0.14;0.09;6.09;1.07;2.71;2.30;22.26;12.73;5.42;4.86;-0.75;0.92;-0.59;27.75;2.82;43.40;37.03
1137;CHSCentralMaryland;0.05;0.00;2.39;0.11;2.53;0.13;0.50;0.68;0.01;0.20;0.90;0.41;;0.91;0.77;0.67;0.46;0.80;0.95;0.72;-0.02;0.08;0.02;-0.06;9.71;0.28;9.16;0.27;26.21;13.48;5.34;7.88;-0.47;1.54;0.12;36.04;3.61;52.99;49.47
1143;MARWesttown;0.00;0.14;-0.58;3.36;2.90;0.28;0.35;0.43;36.33;0.87;0.85;0.63;;0.35;0.66;;0.97;0.72;0.34;0.66;0.58;0.40;0.01;-0.01;11.18;0.45;9.38;1.35;30.87;10.91;15.62;5.34;-1.00;1.00;1.97;44.02;3.12;60.87;57.95
1153;NEDistrictChampionship;0.24;0.17;4.38;1.13;6.10;0.55;0.38;0.68;;0.72;0.67;0.69;;1.45;0.76;0.67;0.71;0.70;1.51;0.71;-0.09;0.45;-0.18;0.18;11.68;0.46;8.30;2.91;36.89;17.39;14.40;6.24;-1.13;1.17;3.16;51.73;4.31;81.55;73.15
1156;SBPLILongIsland;0.01;-0.01;-0.26;3.77;3.28;0.12;0.39;0.69;1.10;1.18;0.64;0.46;;-0.52;0.48;;1.07;0.56;-0.48;0.47;-0.18;2.03;0.23;0.07;8.78;0.17;8.72;-0.11;30.11;7.16;18.34;3.54;1.07;0.78;10.47;49.36;2.30;65.35;59.99
1159;SanDiego;0.00;-0.01;0.82;-0.28;0.40;0.00;0.23;0.65;0.84;1.23;0.90;-0.17;0.00;0.04;1.19;1.78;0.73;0.57;0.05;0.76;0.35;-0.02;0.14;-0.08;7.55;0.08;7.57;-0.10;18.20;10.04;0.25;6.22;1.69;1.36;-0.50;25.25;2.77;33.40;29.61
1197;ArizonaWest;0.00;0.18;0.93;1.95;3.08;0.12;0.34;0.52;;0.93;-0.10;0.67;;0.69;0.87;0.15;1.05;0.42;0.38;0.84;0.15;0.47;-0.03;-0.06;8.95;0.55;6.56;1.84;27.33;12.73;11.59;3.06;-0.05;0.61;2.07;38.29;3.20;55.93;48.14
1208;Iowa;-0.02;-0.02;2.07;0.93;3.02;0.17;0.33;0.73;;0.69;0.54;0.41;;0.11;0.35;0.70;0.75;0.48;0.08;0.48;-0.30;0.05;-0.07;0.12;8.75;0.41;8.63;-0.29;21.34;8.37;8.76;4.79;-0.57;0.92;0.86;30.94;2.54;46.72;41.71
1218;MARDistrictChampionship;-0.11;0.07;-0.13;2.51;1.99;0.20;0.43;0.65;;0.82;0.73;0.69;;-0.02;0.65;;0.76;0.75;0.08;0.67;-0.04;0.42;0.34;-0.12;6.16;0.55;5.45;0.16;28.13;11.79;12.27;3.97;0.10;0.80;1.46;35.76;2.90;49.25;49.14
1241;Waterloo;-0.07;0.77;-0.58;5.93;5.74;0.51;0.38;0.61;;0.85;0.64;0.42;;0.31;0.66;0.67;0.94;0.58;0.22;0.70;-0.55;0.73;0.31;-0.06;13.79;0.03;6.46;7.30;49.15;12.06;28.50;4.14;4.45;1.13;3.31;66.25;3.06;91.83;86.64
1250;MILivonia;-0.01;0.24;2.80;0.13;3.01;0.18;0.41;0.68;;1.23;0.84;0.42;;0.16;0.96;0.67;0.94;0.66;0.26;0.79;0.02;0.05;0.15;0.09;3.38;-0.15;1.15;2.38;27.09;16.08;6.26;5.74;-0.99;1.08;0.69;31.15;3.33;48.88;43.87
1257;MARBridgewaterRaritan;-0.04;0.02;5.07;0.27;5.22;0.50;0.49;0.79;;1.08;0.49;0.96;;-0.21;0.64;6.75;1.01;0.76;-0.13;0.69;0.18;0.19;0.11;0.12;9.54;0.43;9.07;0.04;30.97;11.00;11.51;6.42;2.04;1.42;1.57;42.08;3.11;66.17;64.52
1258;PNWDistrictChampionship;0.04;0.10;4.19;0.29;4.63;0.37;0.36;0.74;;0.76;0.67;0.63;;0.60;0.69;;0.73;0.66;0.55;0.68;0.02;0.07;-0.02;0.03;11.67;-0.22;10.69;1.19;25.59;11.48;9.82;5.09;-0.80;0.96;0.52;37.77;3.37;60.67;54.19
1261;GAStateChampionship;-0.03;0.24;2.60;1.55;4.40;0.38;0.42;0.69;;1.01;0.73;0.73;6.52;-0.08;0.79;2.11;1.02;0.69;0.06;0.76;0.07;0.02;-0.03;0.23;11.99;0.31;9.39;2.29;30.65;11.38;12.96;4.79;1.51;1.06;1.25;43.90;3.22;65.68;61.88
1262;CHDistrictChampionship;0.40;-0.05;2.25;-0.16;2.48;0.20;0.38;0.58;;0.70;0.70;0.72;;1.39;0.65;;0.75;0.68;0.97;0.65;0.22;0.22;-0.04;0.11;11.59;0.08;10.08;1.43;22.24;13.07;3.73;4.39;1.05;0.95;1.66;35.49;3.62;52.31;48.07
1296;Dallas;0.01;0.13;0.80;3.22;4.18;0.18;0.54;0.81;;1.33;1.03;0.90;;-0.06;1.08;-0.41;1.37;0.78;-0.19;0.94;0.25;1.12;-0.03;0.04;11.94;0.37;10.25;1.32;39.08;13.35;17.69;5.12;2.92;1.22;5.84;56.86;3.70;79.16;72.21
1305;NorthBay;0.02;0.06;0.35;4.91;5.30;0.36;0.51;0.75;;1.04;0.88;0.71;-0.09;-0.02;0.79;1.01;0.94;0.77;0.09;0.77;-0.30;0.15;0.04;0.12;4.46;0.28;3.47;0.71;46.92;14.92;25.26;7.14;-0.40;1.40;1.37;53.17;3.33;78.06;72.41
1306;Wisconsin;0.03;-0.03;2.14;0.07;2.21;0.14;0.42;0.69;;1.01;1.24;0.73;;-0.68;0.71;;0.89;0.74;-0.47;0.75;-0.07;0.01;-0.01;-0.10;8.23;0.24;8.16;-0.18;18.23;8.91;4.61;4.11;0.59;0.86;-0.45;26.00;2.60;39.42;37.91
1310;NorthBay;-0.02;0.29;1.27;2.09;3.42;0.31;0.42;0.72;;1.04;0.59;0.68;-0.19;0.40;0.47;0.25;0.86;0.65;0.24;0.55;0.33;0.05;0.21;0.04;9.45;0.38;6.28;2.79;38.94;11.92;12.98;2.12;11.93;1.22;0.42;48.79;3.01;67.00;64.96
1311;GAStateChampionship;0.14;-0.01;0.94;0.37;1.50;-0.07;0.35;0.66;;0.92;0.68;0.91;3.77;0.26;0.65;1.89;0.85;0.76;0.14;0.64;0.09;0.27;-0.06;-0.03;9.62;0.03;9.03;0.56;15.95;10.75;3.75;3.27;-1.82;0.53;1.20;26.77;3.05;39.07;32.09
1318;PNWPhilomath;-0.01;0.05;0.56;3.76;4.34;0.20;0.47;0.77;49.00;1.03;0.95;0.91;;-0.31;0.70;;0.96;0.84;-0.20;0.73;0.01;0.59;0.03;-0.01;10.36;-0.12;10.01;0.47;35.92;10.53;19.95;4.46;0.98;0.96;2.90;49.18;3.11;70.52;63.57
1323;Sacramento;0.00;0.10;0.60;2.53;3.42;0.25;0.62;0.71;;1.38;0.93;;44.50;-0.01;0.86;-1460826524490140.00;1.25;0.85;0.00;0.74;-0.70;0.99;-0.19;0.17;8.94;-0.43;8.35;1.01;33.97;13.57;13.85;5.89;0.66;1.22;5.78;48.69;3.55;68.24;67.31
1325;NorthBay;0.00;0.01;1.60;0.57;2.06;0.04;0.45;0.72;;0.86;0.50;0.61;-0.21;0.19;0.65;0.93;0.91;0.71;0.03;0.67;0.08;0.58;0.12;0.27;12.90;-0.29;13.07;0.12;22.54;8.68;6.06;5.44;2.36;1.25;4.26;39.68;3.04;53.73;49.72
